STATISTIC Label,Year,Type of Journey,UNIT,VALUE
Passenger Journeys by Rail (Thousand),1981,All journeys,Number,15374
Passenger Journeys by Rail (Thousand),1981,Mainline and other services,Number,7379
Passenger Journeys by Rail (Thousand),1981,Dublin suburban services,Number,7995
Passenger Journeys by Rail (Thousand),1981,DART,Number,
Passenger Journeys by Rail (Thousand),1981,International journeys,Number,
Passenger Journeys by Rail (Thousand),1982,All journeys,Number,12813
Passenger Journeys by Rail (Thousand),1982,Mainline and other services,Number,6677
Passenger Journeys by Rail (Thousand),1982,Dublin suburban services,Number,6136
Passenger Journeys by Rail (Thousand),1982,DART,Number,
Passenger Journeys by Rail (Thousand),1982,International journeys,Number,
Passenger Journeys by Rail (Thousand),1983,All journeys,Number,13027
Passenger Journeys by Rail (Thousand),1983,Mainline and other services,Number,6523
Passenger Journeys by Rail (Thousand),1983,Dublin suburban services,Number,6504
Passenger Journeys by Rail (Thousand),1983,DART,Number,
Passenger Journeys by Rail (Thousand),1983,International journeys,Number,
Passenger Journeys by Rail (Thousand),1984,All journeys,Number,15560
Passenger Journeys by Rail (Thousand),1984,Mainline and other services,Number,6795
Passenger Journeys by Rail (Thousand),1984,Dublin suburban services,Number,8765
Passenger Journeys by Rail (Thousand),1984,DART,Number,
Passenger Journeys by Rail (Thousand),1984,International journeys,Number,
Passenger Journeys by Rail (Thousand),1985,All journeys,Number,20090
Passenger Journeys by Rail (Thousand),1985,Mainline and other services,Number,6730
Passenger Journeys by Rail (Thousand),1985,Dublin suburban services,Number,13360
Passenger Journeys by Rail (Thousand),1985,DART,Number,
Passenger Journeys by Rail (Thousand),1985,International journeys,Number,
Passenger Journeys by Rail (Thousand),1986,All journeys,Number,21735
Passenger Journeys by Rail (Thousand),1986,Mainline and other services,Number,6974
Passenger Journeys by Rail (Thousand),1986,Dublin suburban services,Number,14761
Passenger Journeys by Rail (Thousand),1986,DART,Number,
Passenger Journeys by Rail (Thousand),1986,International journeys,Number,
Passenger Journeys by Rail (Thousand),1987,All journeys,Number,24895
Passenger Journeys by Rail (Thousand),1987,Mainline and other services,Number,7535
Passenger Journeys by Rail (Thousand),1987,Dublin suburban services,Number,17360
Passenger Journeys by Rail (Thousand),1987,DART,Number,
Passenger Journeys by Rail (Thousand),1987,International journeys,Number,
Passenger Journeys by Rail (Thousand),1988,All journeys,Number,25485
Passenger Journeys by Rail (Thousand),1988,Mainline and other services,Number,7343
Passenger Journeys by Rail (Thousand),1988,Dublin suburban services,Number,18142
Passenger Journeys by Rail (Thousand),1988,DART,Number,
Passenger Journeys by Rail (Thousand),1988,International journeys,Number,
Passenger Journeys by Rail (Thousand),1989,All journeys,Number,26309
Passenger Journeys by Rail (Thousand),1989,Mainline and other services,Number,7583
Passenger Journeys by Rail (Thousand),1989,Dublin suburban services,Number,18726
Passenger Journeys by Rail (Thousand),1989,DART,Number,
Passenger Journeys by Rail (Thousand),1989,International journeys,Number,
Passenger Journeys by Rail (Thousand),1990,All journeys,Number,26767
Passenger Journeys by Rail (Thousand),1990,Mainline and other services,Number,7787
Passenger Journeys by Rail (Thousand),1990,Dublin suburban services,Number,18980
Passenger Journeys by Rail (Thousand),1990,DART,Number,
Passenger Journeys by Rail (Thousand),1990,International journeys,Number,
Passenger Journeys by Rail (Thousand),1991,All journeys,Number,26837
Passenger Journeys by Rail (Thousand),1991,Mainline and other services,Number,7742
Passenger Journeys by Rail (Thousand),1991,Dublin suburban services,Number,19095
Passenger Journeys by Rail (Thousand),1991,DART,Number,
Passenger Journeys by Rail (Thousand),1991,International journeys,Number,
Passenger Journeys by Rail (Thousand),1992,All journeys,Number,25837
Passenger Journeys by Rail (Thousand),1992,Mainline and other services,Number,7630
Passenger Journeys by Rail (Thousand),1992,Dublin suburban services,Number,18207
Passenger Journeys by Rail (Thousand),1992,DART,Number,
Passenger Journeys by Rail (Thousand),1992,International journeys,Number,
Passenger Journeys by Rail (Thousand),1993,All journeys,Number,26143
Passenger Journeys by Rail (Thousand),1993,Mainline and other services,Number,7903
Passenger Journeys by Rail (Thousand),1993,Dublin suburban services,Number,18240
Passenger Journeys by Rail (Thousand),1993,DART,Number,
Passenger Journeys by Rail (Thousand),1993,International journeys,Number,
Passenger Journeys by Rail (Thousand),1994,All journeys,Number,25813
Passenger Journeys by Rail (Thousand),1994,Mainline and other services,Number,7850
Passenger Journeys by Rail (Thousand),1994,Dublin suburban services,Number,17963
Passenger Journeys by Rail (Thousand),1994,DART,Number,
Passenger Journeys by Rail (Thousand),1994,International journeys,Number,
Passenger Journeys by Rail (Thousand),1995,All journeys,Number,27124
Passenger Journeys by Rail (Thousand),1995,Mainline and other services,Number,8312
Passenger Journeys by Rail (Thousand),1995,Dublin suburban services,Number,18812
Passenger Journeys by Rail (Thousand),1995,DART,Number,
Passenger Journeys by Rail (Thousand),1995,International journeys,Number,
Passenger Journeys by Rail (Thousand),1996,All journeys,Number,27930
Passenger Journeys by Rail (Thousand),1996,Mainline and other services,Number,8393
Passenger Journeys by Rail (Thousand),1996,Dublin suburban services,Number,19537
Passenger Journeys by Rail (Thousand),1996,DART,Number,
Passenger Journeys by Rail (Thousand),1996,International journeys,Number,
Passenger Journeys by Rail (Thousand),1997,All journeys,Number,29467
Passenger Journeys by Rail (Thousand),1997,Mainline and other services,Number,8906
Passenger Journeys by Rail (Thousand),1997,Dublin suburban services,Number,20561
Passenger Journeys by Rail (Thousand),1997,DART,Number,
