Countrycode,City,Type,Quarter,Variable,Value,Note
31,Baku,Metro,1Q2020,Pass,50855,
31,Baku,Metro,2Q2020,Pass,13251.6,
31,Baku,Metro,3Q2020,Pass,5502.4,
31,Baku,Metro,4Q2020,Pass,5100.3,
31,Baku,Metro,1Q2021,Pass,0,
31,Baku,Metro,2Q2021,Pass,11138.8,
31,Baku,Metro,3Q2021,Pass,27808.8,
31,Baku,Metro,4Q2021,Pass,51284.8,
31,Baku,Metro,1Q2020,PKM,561133.5,
31,Baku,Metro,2Q2020,PKM,146218.2,
31,Baku,Metro,3Q2020,PKM,60713.5,
31,Baku,Metro,4Q2020,PKM,56276.7,
31,Baku,Metro,1Q2021,PKM,0,
31,Baku,Metro,2Q2021,PKM,122905.5,
31,Baku,Metro,3Q2021,PKM,306843.1,
31,Baku,Metro,4Q2021,PKM,565876.4,
51,Yerevan,Metro,1Q2019,Pass,4217.6,
51,Yerevan,Metro,2Q2019,Pass,4979.7,
51,Yerevan,Metro,3Q2019,Pass,4925.7,
51,Yerevan,Metro,4Q2019,Pass,5870,
51,Yerevan,Metro,1Q2020,Pass,3844.5,
51,Yerevan,Metro,2Q2020,Pass,936,
51,Yerevan,Metro,3Q2020,Pass,2849.3,
51,Yerevan,Metro,1Q2019,PKM,16000,
51,Yerevan,Metro,2Q2019,PKM,18900,
51,Yerevan,Metro,3Q2019,PKM,18700,
51,Yerevan,Metro,4Q2019,PKM,22300,
51,Yerevan,Metro,1Q2020,PKM,14700,
51,Yerevan,Metro,2Q2020,PKM,3500,
51,Yerevan,Metro,3Q2020,PKM,10800,
70,Sarajevo,Tram,1Q2019,Pass,10545,
70,Sarajevo,Tram,2Q2019,Pass,9871,
70,Sarajevo,Tram,3Q2019,Pass,8800,
70,Sarajevo,Tram,4Q2019,Pass,10204,
70,Sarajevo,Tram,1Q2020,Pass,8618,
70,Sarajevo,Tram,2Q2020,Pass,4135,
100,Sofia,Metro,1Q2019,Pass,23728,
100,Sofia,Metro,2Q2019,Pass,23275,
100,Sofia,Metro,3Q2019,Pass,20499,
100,Sofia,Metro,4Q2019,Pass,24913,
100,Sofia,Metro,1Q2020,Pass,19250,
100,Sofia,Metro,2Q2020,Pass,8416,
100,Sofia,Metro,3Q2020,Pass,14677,
100,Sofia,Metro,4Q2020,Pass,14228,
100,Sofia,Metro,1Q2021,Pass,13231,
100,Sofia,Metro,2Q2021,Pass,16641,
100,Sofia,Metro,3Q2021,Pass,16995,
100,Sofia,Metro,1Q2019,PKM,213552,
100,Sofia,Metro,2Q2019,PKM,209475,
100,Sofia,Metro,3Q2019,PKM,184491,
100,Sofia,Metro,4Q2019,PKM,224217,
100,Sofia,Metro,1Q2020,PKM,173250,
100,Sofia,Metro,2Q2020,PKM,75744,
100,Sofia,Metro,3Q2020,PKM,132093,
100,Sofia,Metro,4Q2020,PKM,128052,
100,Sofia,Metro,1Q2021,PKM,119079,
100,Sofia,Metro,2Q2021,PKM,149769,
100,Sofia,Metro,3Q2021,PKM,152955,
100,Sofia,Tram,1Q2019,Pass,28874,
100,Sofia,Tram,2Q2019,Pass,27934,
100,Sofia,Tram,3Q2019,Pass,25596,
100,Sofia,Tram,4Q2019,Pass,15434,
100,Sofia,Tram,1Q2020,Pass,27225,
100,Sofia,Tram,2Q2020,Pass,15129,
100,Sofia,Tram,3Q2020,Pass,19805,
100,Sofia,Tram,4Q2020,Pass,17640,
100,Sofia,Tram,1Q2021,Pass,18312,
100,Sofia,Tram,2Q2021,Pass,18965,
100,Sofia,Tram,3Q2021,Pass,17311,
100,Sofia,Tram,1Q2019,PKM,65601.728,
100,Sofia,Tram,2Q2019,PKM,63466.048,
100,Sofia,Tram,3Q2019,PKM,58154.112,
100,Sofia,Tram,4Q2019,PKM,35066.048,
100,Sofia,Tram,1Q2020,PKM,61855,
100,Sofia,Tram,2Q2020,PKM,34373,
100,Sofia,Tram,3Q2020,PKM,44997,
100,Sofia,Tram,4Q2020,PKM,40078,
100,Sofia,Tram,1Q2021,PKM,41605,
100,Sofia,Tram,2Q2021,PKM,43088,
100,Sofia,Tram,3Q2021,PKM,39330,
112,Gomel region,Tram,1Q2019,Pass,159.7,
112,Gomel region,Tram,2Q2019,Pass,177.5,
112,Gomel region,Tram,3Q2019,Pass,189.6,
112,Gomel region,Tram,4Q2019,Pass,187.8,
112,Gomel region,Tram,1Q2020,Pass,173.2,
112,Gomel region,Tram,2Q2020,Pass,171.1,
112,Gomel region,Tram,3Q2020,Pass,170.2,
112,Gomel region,Tram,4Q2020,Pass,173.3,
112,Gomel region,Tram,1Q2021,Pass,162.7,
112,Gomel region,Tram,2Q2021,Pass,174.1,
112,Gomel region,Tram,3Q2021,Pass,170.2,
112,Gomel region,Tram,4Q2021,Pass,166.2,
112,Gomel region,Tram,1Q2019,PKM,2595.4,
112,Gomel region,Tram,2Q2019,PKM,2810.8,
112,Gomel region,Tram,3Q2019,PKM,3022.8,
112,Gomel region,Tram,4Q2019,PKM,3044.8,
112,Gomel region,Tram,1Q2020,PKM,2822.4,
112,Gomel region,Tram,2Q2020,PKM,2809.1,
112,Gomel region,Tram,3Q2020,PKM,2737.7,
112,Gomel region,Tram,4Q2020,PKM,2822.8,
112,Gomel region,Tram,1Q2021,PKM,2694.1,
112,Gomel region,Tram,2Q2021,PKM,2816.5,
112,Gomel region,Tram,3Q2021,PKM,2747.4,
112,Gomel region,Tram,4Q2021,PKM,2730.7,
112,Minsk city,Metro,1Q2019,Pass,74119.5,
112,Minsk city,Metro,2Q2019,Pass,70909.6,
112,Minsk city,Metro,3Q2019,Pass,69974,
112,Minsk city,Metro,4Q2019,Pass,78717.9,
112,Minsk city,Metro,1Q2020,Pass,70495.2,
112,Minsk city,Metro,2Q2020,Pass,40748.3,
112,Minsk city,Metro,3Q2020,Pass,53183.1,
112,Minsk city,Metro,4Q2020,Pass,54862.9,
