Financial year ending March,Docklands Light Railway,London Trams,Nottingham Express Transit,"West Midlands Metro [notes 1, 2, 3]",Sheffield Supertram,Tyne and Wear Metro,Manchester Metrolink [note 4],Blackpool Tramway [note 5],England outside of London [note 6],England [note 6],Edinburgh Trams,Great Britain [note 6],London Underground,Glasgow Subway,,,
1984,[w],[w],[w],[w],[w],275.9,[w],19.0,294.9,294.9,[w],294.9,[w],34.6,,,
1985,[w],[w],[w],[w],[w],310.1,[w],18.4,328.5,328.5,[w],328.5,[w],34.9,,,
1986,[w],[w],[w],[w],[w],301.6,[w],19.0,320.6,320.6,[w],320.6,[w],36.2,,,
1987,[w],[w],[w],[w],[w],296.3,[w],19.0,315.3,315.3,[w],315.3,[w],38.0,,,
1988,[w],[w],[w],[w],[w],284.2,[w],16.6,300.8,300.8,[w],300.8,[w],39.1,,,
1989,32.0,[w],[w],[w],[w],308.0,[w],16.4,324.4,356.4,[w],356.4,[w],39.4,,,
1990,37.8,[w],[w],[w],[w],318.8,[w],17.2,336.0,373.8,[w],373.8,[w],39.1,,,
1991,33.0,[w],[w],[w],[w],290.0,[w],17.6,307.6,340.6,[w],340.6,[w],39.6,,,
1992,32.3,[w],[w],[w],[w],277.4,[w],15.4,292.8,325.1,[w],325.1,[w],39.3,,,
1993,32.5,[w],[w],[w],[w],271.4,53.0,16.0,340.4,372.9,[w],372.9,[w],39.1,,,
1994,39.4,[w],[w],[w],[w],272.6,72.6,16.8,362.0,401.4,[w],401.4,[w],41.4,,,
1995,55.0,[w],[w],[w],15.2,270.5,78.6,16.6,380.9,435.9,[w],435.9,[w],42.6,,,
1996,70.3,[w],[w],[w],37.1,261.2,80.8,15.0,394.1,464.3,[w],464.3,[w],41.4,,,
1997,86.0,[w],[w],[w],54.6,254.3,85.6,15.1,409.6,495.6,[w],495.6,[w],39.8,,,
1998,102.9,[w],[w],[w],64.4,248.8,88.2,14.5,415.9,518.8,[w],518.8,[w],45.2,,,
1999,144.3,[w],[w],[w],72.5,237.8,117.0,13.3,440.6,584.9,[w],584.9,[w],46.7,,,
2000,172.1,[w],[w],49.9,76.1,230.0,126.0,13.1,495.1,667.2,[w],667.2,[w],47.0,,,
2001,200.1,96.0,[w],55.8,77.4,229.2,152.3,12.6,527.3,823.4,[w],823.4,"7,470.0",46.1,,,
2002,206.9,99.0,[w],50.1,80.0,238.4,161.3,14.9,544.7,850.6,[w],850.6,"7,451.0",44.1,,,
